epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7442.62,1.37218,0.88312,0.8756,0.51052,0.38787,0.37538,0.21488,1.35171,0.91605,0.87934,0.000424187,0.000424187,0.000424187
43,7610.48,1.36282,0.87911,0.87488,0.50387,0.39245,0.38118,0.21836,1.34831,0.92064,0.87776,0.000417119,0.000417119,0.000417119
44,7792.7,1.36898,0.87527,0.8744,0.50111,0.39776,0.38025,0.21839,1.34827,0.91169,0.87746,0.00041005,0.00041005,0.00041005
45,7966.29,1.35529,0.87057,0.8733,0.5066,0.39483,0.38256,0.21919,1.3433,0.90522,0.87782,0.000402982,0.000402982,0.000402982
46,8140.98,1.35718,0.87034,0.87334,0.50197,0.39788,0.38518,0.22041,1.34363,0.90982,0.8773,0.000395913,0.000395913,0.000395913
47,8318.5,1.36562,0.87014,0.87121,0.51665,0.4024,0.39085,0.22442,1.33602,0.89717,0.8763,0.000388844,0.000388844,0.000388844
48,8514.58,1.35169,0.85764,0.87132,0.52172,0.39931,0.38773,0.22245,1.33962,0.90165,0.87628,0.000381776,0.000381776,0.000381776
49,8687.58,1.34523,0.85603,0.87038,0.51964,0.39766,0.38722,0.22091,1.34018,0.90221,0.87588,0.000374707,0.000374707,0.000374707
50,8863.38,1.35155,0.85953,0.86935,0.51861,0.39467,0.38548,0.22173,1.34248,0.90424,0.87616,0.000367639,0.000367639,0.000367639
51,9051.4,1.34089,0.84774,0.86973,0.52685,0.39442,0.39215,0.22504,1.3361,0.90019,0.87556,0.00036057,0.00036057,0.00036057
52,9227.99,1.33249,0.842,0.86874,0.52561,0.40009,0.3918,0.2257,1.33086,0.89531,0.87514,0.000353501,0.000353501,0.000353501
53,9417.07,1.33374,0.83777,0.86832,0.51723,0.39892,0.39104,0.22547,1.32951,0.89768,0.87429,0.000346433,0.000346433,0.000346433
54,9594.1,1.34059,0.84104,0.86826,0.5217,0.39958,0.39139,0.22507,1.32775,0.89548,0.87419,0.000339364,0.000339364,0.000339364
55,9785.87,1.33018,0.83731,0.86763,0.52365,0.39534,0.38999,0.22342,1.33622,0.89806,0.8756,0.000332296,0.000332296,0.000332296
56,9954.62,1.32839,0.83008,0.8682,0.51814,0.39888,0.38883,0.22333,1.33467,0.89739,0.87489,0.000325227,0.000325227,0.000325227
57,10129.1,1.33184,0.8293,0.86652,0.52037,0.39797,0.39059,0.22522,1.33521,0.89279,0.87503,0.000318158,0.000318158,0.000318158
58,10298.5,1.33243,0.82603,0.86604,0.51726,0.40684,0.39281,0.22536,1.33355,0.89642,0.87511,0.00031109,0.00031109,0.00031109
59,10464.7,1.32687,0.82273,0.86569,0.52378,0.40096,0.39322,0.22474,1.33097,0.89616,0.87446,0.000304021,0.000304021,0.000304021
60,10637.3,1.32617,0.81953,0.86586,0.52375,0.40154,0.39159,0.22353,1.33355,0.89676,0.87536,0.000296953,0.000296953,0.000296953
61,10812.2,1.32305,0.81309,0.86433,0.52737,0.40339,0.3957,0.22667,1.33007,0.89255,0.87412,0.000289884,0.000289884,0.000289884
62,10991,1.30946,0.81259,0.86493,0.5042,0.40868,0.39299,0.22583,1.33374,0.89215,0.87507,0.000282815,0.000282815,0.000282815
63,11160.8,1.3245,0.81178,0.86467,0.51848,0.41035,0.39629,0.22733,1.3312,0.88826,0.8746,0.000275747,0.000275747,0.000275747
64,11336.7,1.31671,0.80593,0.86258,0.52235,0.40908,0.39598,0.22642,1.33035,0.8922,0.87427,0.000268678,0.000268678,0.000268678
65,11506.1,1.3108,0.79886,0.86243,0.52447,0.40793,0.39771,0.22723,1.3325,0.8926,0.87394,0.00026161,0.00026161,0.00026161
66,11674.9,1.30436,0.79772,0.86329,0.52197,0.41117,0.39885,0.22884,1.32756,0.88851,0.87349,0.000254541,0.000254541,0.000254541
67,11846.3,1.30648,0.79668,0.86104,0.52518,0.41103,0.39876,0.22866,1.32893,0.88971,0.87454,0.000247472,0.000247472,0.000247472
68,12019.7,1.30353,0.79259,0.86074,0.52308,0.41401,0.3994,0.22933,1.32681,0.88699,0.87327,0.000240404,0.000240404,0.000240404
69,12188,1.30368,0.78964,0.85848,0.52368,0.41377,0.39994,0.22981,1.32481,0.88701,0.87404,0.000233335,0.000233335,0.000233335
70,12360.1,1.3053,0.79157,0.86132,0.52461,0.41218,0.40103,0.23041,1.32573,0.88769,0.87337,0.000226267,0.000226267,0.000226267
71,12531.9,1.29387,0.78045,0.85965,0.52803,0.41096,0.39985,0.23047,1.32594,0.8861,0.87341,0.000219198,0.000219198,0.000219198
72,12711,1.3003,0.78415,0.85712,0.52709,0.41047,0.40028,0.23043,1.32572,0.88744,0.87318,0.000212129,0.000212129,0.000212129
73,12880.6,1.2905,0.77884,0.86023,0.53167,0.41076,0.39972,0.22877,1.32897,0.88822,0.87443,0.000205061,0.000205061,0.000205061
74,13052,1.28953,0.77766,0.86152,0.52671,0.41113,0.40034,0.22941,1.32765,0.88793,0.8736,0.000197992,0.000197992,0.000197992
75,13226.6,1.28061,0.76969,0.85864,0.53409,0.4114,0.40137,0.23021,1.32642,0.88419,0.8731,0.000190924,0.000190924,0.000190924
76,13403,1.27971,0.76873,0.85683,0.52815,0.41315,0.40101,0.22989,1.32561,0.88547,0.8732,0.000183855,0.000183855,0.000183855
77,13572.9,1.28797,0.77116,0.85767,0.5307,0.4128,0.40091,0.23017,1.32795,0.8881,0.8739,0.000176786,0.000176786,0.000176786
78,13745.2,1.27379,0.76626,0.85635,0.53127,0.41296,0.40034,0.23027,1.32407,0.8855,0.87282,0.000169718,0.000169718,0.000169718
79,13916.3,1.28642,0.77051,0.85725,0.52669,0.41244,0.39966,0.22919,1.32377,0.88446,0.87285,0.000162649,0.000162649,0.000162649
