timestamp_s,lat,lon,alt_m
10091.493925927,-35.3632628,149.1652372,10.044000625610352
10092.576624537,-35.3632632,149.1652368,10.122000694274902
10093.370318945,-35.3632639,149.165236,10.175000190734863
10094.046444755,-35.3632649,149.16523469999998,10.210000038146973
10094.469604879,-35.3632664,149.1652329,10.233000755310059
10094.769183405,-35.363268399999995,149.16523039999998,10.246000289916992
10095.083754288,-35.3632711,149.16522709999998,10.253000259399414
10095.400115742,-35.363274499999996,149.165223,10.256000518798828
10095.706765843,-35.363278699999995,149.1652178,10.253000259399414
10095.996747412,-35.3632837,149.1652116,10.247000694274902
10096.319589068,-35.3632895,149.1652044,10.238000869750977
10096.615667594,-35.363296,149.16519639999999,10.22800064086914
10096.951532259,-35.363303,149.1651877,10.217000961303711
10097.300100564,-35.3633105,149.1651785,10.205000877380371
10097.60003847,-35.3633185,149.1651688,10.192000389099121
10097.903759159,-35.3633266,149.1651587,10.178000450134277
10098.205786195,-35.363335,149.1651485,10.165000915527344
10098.529090323,-35.3633435,149.1651381,10.153000831604004
10098.812877773,-35.363352,149.1651276,10.13900089263916
10099.110465958,-35.3633605,149.1651172,10.124000549316406
10099.429618012,-35.3633689,149.16510689999998,10.109000205993652
10099.728824597,-35.363377199999995,149.1650967,10.094000816345215
10100.020701148,-35.3633854,149.16508679999998,10.081000328063965
10100.329979313,-35.3633932,149.16507719999998,10.069000244140625
10100.618151465,-35.3634006,149.1650682,10.058000564575195
10100.922827706,-35.3634075,149.16505999999998,10.04800033569336
10101.233240756,-35.3634138,149.165053,10.039000511169434
10101.541202759,-35.3634193,149.1650474,10.030000686645508
10101.828727473,-35.363424099999996,149.1650435,10.020000457763672
10102.238457415,-35.363428,149.1650417,10.011000633239746
10102.734048514,-35.363431,149.1650419,10.00200080871582
10103.185807573,-35.363433199999996,149.1650445,9.992000579833984
10103.559636898,-35.3634349,149.1650494,9.982000350952148
10103.858233084,-35.3634359,149.1650565,9.972000122070312
10104.147934145,-35.3634366,149.165066,9.963000297546387
10104.469675694,-35.363436899999996,149.1650776,9.958000183105469
10104.759076026,-35.3634371,149.165091,9.956000328063965
10105.055475276,-35.3634371,149.16510599999998,9.958000183105469
10105.362880775,-35.363437,149.1651221,9.962000846862793
10105.654605331,-35.363437,149.1651391,9.968000411987305
10105.954654246,-35.3634371,149.16515669999998,9.973000526428223
10106.310094148,-35.3634372,149.165175,9.979000091552734
10106.590912885,-35.3634373,149.16519359999998,9.984000205993652
10106.901683271,-35.363437399999995,149.1652125,9.98900032043457
10107.185677538,-35.363437499999996,149.1652315,9.994000434875488
10107.523953937,-35.363437499999996,149.16525049999998,9.997000694274902
10107.810626378,-35.3634376,149.1652694,9.999000549316406
10108.110775584,-35.3634376,149.1652882,10.00100040435791
10108.427023079,-35.3634377,149.1653067,10.003000259399414
10108.71721002,-35.3634377,149.16532469999999,10.006000518798828
10109.016089139,-35.3634377,149.16534199999998,10.009000778198242
10109.40193592,-35.3634377,149.1653586,10.011000633239746
10109.747285757,-35.3634377,149.16537409999998,10.01300048828125
10110.041650325,-35.3634377,149.16538839999998,10.01200008392334
10110.36068053,-35.3634377,149.16540129999998,10.010000228881836
10110.666717149,-35.3634377,149.1654127,10.008000373840332
10110.988540026,-35.3634376,149.16542239999998,10.006000518798828
10111.311018859,-35.3634376,149.1654303,10.00200080871582
10111.619428657,-35.363437499999996,149.1654365,9.996000289916992
10111.911937324,-35.363437399999995,149.1654413,9.99000072479248
10112.212160271,-35.3634372,149.1654448,9.985000610351562
10112.571044174,-35.3634365,149.16544729999998,9.981000900268555
10112.987366279,-35.3634354,149.165449,9.979000091552734
10113.42338107,-35.363433799999996,149.1654499,9.979000091552734
10113.832045151,-35.3634316,149.1654505,9.979000091552734
10114.243148316,-35.3634291,149.16545069999998,9.980000495910645
10114.757098815,-35.3634264,149.16545069999998,9.981000900268555
10115.219445763,-35.3634236,149.16545069999998,9.983000755310059
10115.70536241,-35.3634209,149.1654509,9.985000610351562
10116.272651323,-35.3634183,149.165451,9.987000465393066
10116.792704989,-35.363416,149.1654509,9.98900032043457
10117.296889646,-35.363414,149.16545059999999,9.99000072479248
10117.794115398,-35.3634124,149.1654495,9.991000175476074
10118.252405687,-35.3634115,149.16544779999998,9.992000579833984
